,case_id,case_text,outcome,个人利益框架（原始）,个人利益框架（校准）,集体利益框架（原始）,集体利益框架（校准）,明确性归咎（原始）,明确性归咎（校准）,模糊性归咎（原始）,模糊性归咎（校准）,维护性诉求（原始）,维护性诉求（校准）,增长性诉求（原始）,增长性诉求（校准）,制度化诉求（原始）,制度化诉求（校准）,非制度化诉求（原始）,非制度化诉求（校准）
0,1,南湾街道南岭村富源居小区电动车乱停乱放，堵消防通道，特别是晚上完全路，消防通道可是生命通道，消防车的通道如何保障，物业不,0,0,0.0001,1,0.9999,0.95,0.9999,0,0.0001,0.9,0.9444,0,0.0001,0.8,0.8333,0,0.0001
1,2,所在位置为大朗镇金朗南路，可以看出机动车和非机动车的标牌非常明显，但是电动车总是来和机动车挤，出了事故算谁的，电动车主就,1,0.5,0.5,0.85,0.8888,0.9,0.9444,0.85,0.8888,0,0.0001,0.9,0.9444,0.9,0.9444,0,0.0001
2,3,深圳市宝安区沙井镇松福大道沙井北高速站出入口路段，电动车走机动车道问题严重，非法改装电动车速度很快横穿车流之间，尤其是送,0,0,0.0001,0.9,0.9444,0.85,0.8888,0.1,0.0556,1,0.9999,0,0.0001,0.8,0.8333,0,0.0001
3,4,这里有闻名中外的六榕寺，游客多。电动车自行车二十四小时逆行，好几次造成行人的受伤。望领导重视！,0,0,0.0001,1,0.9999,0.9,0.9444,0.85,0.8888,0.9,0.9444,0.2,0.1667,0.85,0.8888,0,0.0001
4,5,禅城区黎明一路世博嘉园小区，小区物业与居委长期管理不善，每天都有大量电动车自由进出，停放在各楼层大堂出入口附近（特别是下,1,0,0.0001,1,0.9999,1,0.9999,0,0.0001,0.9,0.9444,0.1,0.0556,0.1,0.0556,0,0.0001
5,6,深圳市宝安区沙井镇松福大道沙井北高速站出入口路段，电动车走机动车道问题严重，非法改装电动车速度很快横穿车流之间，尤其是送,1,0,0.0001,0.85,0.8888,0.9,0.9444,0.85,0.8888,1,0.9999,0,0.0001,0.9,0.9444,0,0.0001
6,7,江城区吉祥西路8号网吧两边被设置共享电动车停放区域，导致两边居民楼出入路口长期被共享电动车阻塞，严重影响市民生活。,0,0,0.0001,0.95,0.9999,0.2,0.1667,0.1,0.0556,0,0.0001,0,0.0001,0.1,0.0556,0.1,0.0556
7,8,我是一名长期生活在海珠区的市民。就中大轻纺城及中山大学校园周边的电动自行车违规乱象，提出正式投诉。 目前，在中大轻纺城及,0,0.2,0.1667,0.95,0.9999,0.85,0.8888,0.8,0.8333,0.85,0.8888,0.1,0.0556,0.85,0.8888,0,0.0001
8,9,尊敬的领导您好，广州市天河区 石牌桥 万菱汇 太古汇 岗顶 壬丰大厦 中山三院 天娱广场 附近，有很多违规电动车，包括无,0,0,0.0001,1,0.9999,0.2,0.1667,0.85,0.8888,1,0.9999,0,0.0001,0.9,0.9444,0,0.0001
9,10,深圳市宝安区石岩街道应人石清雅苑后门地下停车场斜坡处，近100辆电动车长期违规乱停放。 影响： 1、导致双车道变单车道；,1,0,0.0001,1,0.9999,0.1,0.0556,0.9,0.9444,0,0.0001,0,0.0001,0.9,0.9444,0,0.0001
10,11,所在位置为黄江镇公常路北岸路段，非机动车道那么宽的地方不走，非要来机动车道挤，不碰着好说，碰着了这算谁的责任呢，交警大队,1,0.2,0.1667,0.8,0.8333,0.3,0.2778,0.8,0.8333,0.4,0.3889,0.9,0.9444,0.9,0.9444,0.1,0.0556
11,12,目前生活在宝体附近，行人和机动车肆意闯红灯，不仅是外卖小哥，普通的电动车和自行车很多人也完全无视红绿灯的存在，这给机动车,1,0.3,0.2778,0.85,0.8888,0.85,0.8888,0.85,0.8888,0.75,0.7777,0,0.0001,0.3,0.2778,0,0.0001
12,13,关于在广州市天河区大观路与大观街交叉口（保利天汇附近）优化人行横道规划、消除交通安全隐患的建议 一、具体位置： 广州市天,0,0,0.0001,0.9,0.9444,0.75,0.7777,0.1,0.0556,0.35,0.3334,0.85,0.8888,1,0.9999,0,0.0001
13,14,该路口没有红绿灯，没有斑马线，行人，骑行电动车进入小区地下停车场中途，很多车没有减速，没有观察行人。 小区生活上千人，其,0,0,0.0001,1,0.9999,0.1,0.0556,0.85,0.8888,0,0.0001,0.95,0.9999,0.9,0.9444,0,0.0001
14,15,领导你好，已经发现这问题很多年咯，博雅滨江对出的人行横道设计很不合理，每次从体育公园从人行横道过去对面，很多私家车经过都,1,0,0.0001,1,0.9999,0.9,0.9444,0.9,0.9444,0.75,0.7777,0.1,0.0556,0.9,0.9444,0,0.0001
15,16,近期关注到我县共享电单车在方便群众短途出行的同时，也出现了投放过剩、乱停乱放等问题，结合其他地区的管理经验和我县实际，特,1,0,0.0001,1,0.9999,0.1,0.0556,0.85,0.8888,0.95,0.9999,0,0.0001,0.95,0.9999,0,0.0001
16,17,湛江市坡头区官渡镇东岸村路口至三角市场路口段，属于G228国道主干道。该路段日常车流量较大，重型货车往来频繁，目前道路施,0,0.2,0.1667,0.85,0.8888,0.1,0.0556,0,0.0001,0.1,0.0556,0,0.0001,0.95,0.9999,0,0.0001
17,18,尊敬的领导你好，建议在市内建设电动车专用红绿灯增加电动车专用道左转弯采用 Aued灯光在电动车专用专用车专到到左转弯右转,1,0,0.0001,0.25,0.2223,0,0.0001,0,0.0001,0,0.0001,0.95,0.9999,0.9,0.9444,0,0.0001
