个人利益框架,集体利益框架,明确性归咎,模糊性归咎,维护性诉求,增长性诉求,制度化诉求,非制度化诉求,案例数,一致性,覆盖度,PRI,结果,类型
0,0,0,0,0,1,1,0,1,1.0,0.0864,1.0,1,✓ 充分条件组态
0,1,0,0,0,0,0,0,1,0.0,0.0,1.0,0,✗ 不充分
0,1,0,0,0,0,1,0,1,0.0,0.0,1.0,0,✗ 不充分
0,1,0,1,0,0,1,0,1,1.0,0.1049,1.0,1,✓ 充分条件组态
0,1,0,1,0,1,1,0,2,0.4074,0.0679,1.0,0,✗ 不充分
0,1,0,1,1,0,1,0,2,0.5161,0.0988,1.0,0,✗ 不充分
0,1,1,0,0,1,1,0,1,0.0,0.0,1.0,0,✗ 不充分
0,1,1,0,1,0,0,0,1,1.0,0.1049,1.0,1,✓ 充分条件组态
0,1,1,0,1,0,1,0,2,0.0,0.0,1.0,0,✗ 不充分
0,1,1,1,1,0,0,0,1,1.0,0.0802,1.0,1,✓ 充分条件组态
0,1,1,1,1,0,1,0,4,0.5,0.1852,1.0,0,✗ 不充分
